name;count
Tuula;30 537
Anne;30 317
Päivi;29 918
Anna;28 974
Ritva;28 231
Leena;28 147
Pirjo;27 886
Sari;27 661
Minna;27 658
Marja;26 335
Tiina;25 848
Riitta;25 147
Tarja;24 614
Laura;23 353
Pirkko;22 384
Seija;21 399
Aino;21 395
Jaana;21 391
Satu;21 385
Heidi;21 284
Sirpa;21 226
Hanna;21 175
Sanna;21 017
Raija;20 789
Liisa;20 785
Eeva;20 642
Maria;20 194
Eija;20 066
Merja;19 563
Anja;19 553
Johanna;19 463
Kirsi;19 342
Arja;18 550
Eila;18 442
Maija;17 693
Paula;17 535
Ulla;17 025
Jenni;16 823
Elina;16 281
Katja;15 750
Sirkka;15 371
Mari;15 108
Nina;14 914
Heli;14 910
Anni;14 814
Emma;14 761
Terttu;13 230
Raili;13 212
Mirja;13 052
Kirsti;12 812
Anu;12 537
Helena;12 481
Hilkka;12 449
Emilia;12 254
Tuija;12 241
Sara;12 018
Kaija;11 750
Ella;11 654
Niina;11 653
Sofia;11 631
Suvi;11 252
Kaisa;11 094
Pia;11 048
Tanja;10 920
Jenna;10 738
Saara;10 649
Kati;10 396
Maarit;10 367
Henna;10 356
Veera;10 324
Aila;10 267
Marjo;10 254
Leila;10 129
Noora;10 109
Katri;10 097
Irma;10 091
Julia;9 904
Susanna;9 765
Iida;9 688
Riikka;9 645
Lea;9 613
Outi;9 196
Marja-Leena;9 156
Venla;9 137
Mervi;9 085
Milla;8 998
Helmi;8 995
Taina;8 945
Jonna;8 830
Sinikka;8 706
Virpi;8 685
Emmi;8 659
Kerttu;8 637
Irja;8 457
Miia;8 457
Sonja;8 205
Tiia;8 056
Marja-Liisa;7 999
Lotta;7 793
Marika;7 724
Siiri;7 712
Elli;7 626
Terhi;7 422
Elsa;7 410
Vilma;7 406
Sini;7 356
Sanni;7 290
Annika;7 191
Oona;7 144
Ida;7 098
Mira;7 072
Aada;7 048
Teija;6 988
Mia;6 903
Sisko;6 775
Essi;6 536
Nea;6 508
Viivi;6 457
Anita;6 380
Linda;6 359
Piia;6 200
Taru;6 121
Petra;5 745
Maire;5 740
Anneli;5 653
Aune;5 646
Airi;5 641
Roosa;5 592
Marita;5 586
Elisa;5 526
Olivia;5 453
Salla;5 442
Silja;5 406
Iina;5 404
Pinja;5 396
Amanda;5 373
Erja;5 367
Ronja;5 241
Enni;5 203
Lilja;5 177
Anna-Liisa;5 074
Vuokko;4 991
